species,class,order,weight_kg,length_cm,conservation_status
Performance prevent,Aves,Rodentia,4961.035,1343.96,Least Concern
Mr either,Mammalia,Primates,4908.504,1175.3,Near Threatened
Yard production,Mammalia,Rodentia,1486.881,2823.94,Endangered
Officer new,Reptilia,Passeriformes,3083.589,376.8,Least Concern
Attorney institution,Aves,Carnivora,1397.515,556.54,Critically Endangered
Ago address,Amphibia,Anura,1298.094,2869.48,Vulnerable
Responsibility building,Mammalia,Squamata,2010.199,1962.47,Extinct in the Wild
Town although,Mammalia,Carnivora,2084.946,1695.61,Vulnerable
After early,Reptilia,Passeriformes,2143.891,1647.39,Least Concern
Not room,Aves,Rodentia,4723.679,2828.43,Least Concern
Vote amount,Mammalia,Rodentia,279.946,2184.77,Near Threatened
Explain baby,Aves,Passeriformes,3992.637,654.81,Critically Endangered
Degree cut,Reptilia,Primates,3429.562,2326.31,Near Threatened
Single keep,Amphibia,Squamata,4502.725,366.46,Endangered
National position,Actinopterygii,Anura,386.378,75.68,Least Concern
Degree yourself,Aves,Anura,1218.94,345.85,Near Threatened
Throw to,Mammalia,Primates,374.256,2077.98,Critically Endangered
Successful whether,Actinopterygii,Carnivora,4320.64,2776.12,Endangered
Month fall,Mammalia,Primates,266.456,147.47,Endangered
Amount theory,Mammalia,Rodentia,2194.998,415.09,Extinct in the Wild
Against start,Reptilia,Carnivora,2327.358,433.05,Least Concern
Face within,Aves,Primates,492.917,1439.73,Least Concern
President down,Aves,Rodentia,709.29,1688.5,Critically Endangered
Mean citizen,Aves,Passeriformes,3544.449,2574.93,Critically Endangered
Particular move,Reptilia,Primates,20.795,839.35,Endangered
Guy relate,Aves,Rodentia,4600.433,879.71,Near Threatened
Will campaign,Actinopterygii,Primates,4857.149,1030.7,Least Concern
Consider available,Amphibia,Passeriformes,47.536,773.2,Near Threatened
Prevent learn,Mammalia,Passeriformes,884.336,2047.57,Near Threatened
Unit fly,Actinopterygii,Primates,2485.31,1745.75,Extinct in the Wild
Item staff,Reptilia,Rodentia,3920.987,266.36,Least Concern
Reach most,Reptilia,Anura,437.758,685.85,Least Concern
Condition difficult,Reptilia,Carnivora,4977.003,2866.36,Critically Endangered
Defense large,Actinopterygii,Rodentia,2061.386,758.81,Extinct in the Wild
Audience poor,Aves,Carnivora,354.602,44.04,Critically Endangered
Finally myself,Amphibia,Rodentia,430.302,1833.67,Extinct in the Wild
Its fear,Reptilia,Passeriformes,2476.972,2507.53,Vulnerable
Inside some,Amphibia,Anura,2375.85,2638.18,Least Concern
Cell new,Reptilia,Passeriformes,1720.559,1877.85,Near Threatened
Ok somebody,Aves,Carnivora,4220.35,686.04,Critically Endangered
Down turn,Mammalia,Anura,2402.463,2134.84,Vulnerable
Family explain,Mammalia,Passeriformes,4235.5,535.68,Extinct in the Wild
Among him,Aves,Passeriformes,3679.365,1240.29,Extinct in the Wild
Artist daughter,Mammalia,Squamata,610.115,2302.39,Least Concern
Few most,Mammalia,Passeriformes,719.899,2976.35,Least Concern
Four recently,Amphibia,Primates,1602.002,2034.88,Critically Endangered
Sort memory,Aves,Primates,741.927,2996.78,Least Concern
Interesting relationship,Actinopterygii,Squamata,1255.803,1423.36,Critically Endangered
Event many,Actinopterygii,Rodentia,4208.426,2004.74,Extinct in the Wild
Prove second,Actinopterygii,Passeriformes,279.0,1585.53,Vulnerable
Player attack,Mammalia,Anura,2023.926,1298.3,Critically Endangered
International this,Amphibia,Passeriformes,4705.825,2523.77,Endangered
Reduce a,Reptilia,Primates,4359.712,1942.1,Extinct in the Wild
Realize Republican,Amphibia,Primates,3512.418,307.17,Vulnerable
Minute call,Amphibia,Anura,2640.582,1232.29,Vulnerable
Wife last,Mammalia,Rodentia,1354.037,1568.44,Extinct in the Wild
Thousand personal,Mammalia,Rodentia,1847.24,361.67,Vulnerable
Amount simply,Reptilia,Primates,2311.768,2207.2,Least Concern
Summer staff,Mammalia,Rodentia,4650.108,123.43,Near Threatened
Break effect,Aves,Primates,1460.257,1219.55,Endangered
Easy model,Mammalia,Passeriformes,4219.346,720.12,Critically Endangered
Continue if,Mammalia,Anura,3233.218,1894.8,Critically Endangered
Six could,Reptilia,Passeriformes,2277.761,2075.12,Extinct in the Wild
Although audience,Amphibia,Squamata,2657.174,2483.58,Least Concern
Audience letter,Aves,Squamata,1986.338,1619.73,Endangered
Purpose to,Mammalia,Squamata,688.25,2658.71,Vulnerable
Doctor who,Reptilia,Carnivora,2547.92,2389.42,Vulnerable
Opportunity week,Aves,Carnivora,163.474,136.99,Critically Endangered
College situation,Aves,Passeriformes,2148.482,2357.83,Critically Endangered
Tonight explain,Reptilia,Anura,1683.094,2593.82,Vulnerable
Painting every,Mammalia,Passeriformes,1078.155,268.93,Endangered
Significant resource,Reptilia,Squamata,3978.01,1189.74,Critically Endangered
Weight and,Reptilia,Carnivora,2078.115,970.26,Extinct in the Wild
Wish find,Aves,Primates,4110.448,1277.75,Extinct in the Wild
Investment various,Actinopterygii,Primates,4395.106,1239.95,Critically Endangered
Analysis final,Aves,Carnivora,4638.604,144.16,Vulnerable
General apply,Actinopterygii,Anura,4329.454,1659.61,Least Concern
From reason,Aves,Rodentia,2693.613,2809.27,Near Threatened
But fall,Actinopterygii,Passeriformes,4801.549,2045.97,Critically Endangered
Loss air,Amphibia,Anura,3774.132,2296.89,Endangered
Region attorney,Reptilia,Rodentia,3495.648,1469.74,Endangered
Fly necessary,Amphibia,Primates,1055.713,2881.1,Endangered
Particular these,Actinopterygii,Passeriformes,3774.882,2813.82,Critically Endangered
Station focus,Aves,Carnivora,856.478,1033.48,Endangered
Painting free,Mammalia,Primates,3857.27,2584.57,Least Concern
Determine language,Aves,Primates,1426.538,101.12,Extinct in the Wild
Administration participant,Actinopterygii,Carnivora,3292.851,1081.06,Near Threatened
Physical occur,Aves,Carnivora,4829.884,2591.68,Extinct in the Wild
Often quite,Reptilia,Rodentia,2574.261,203.75,Near Threatened
Certain lawyer,Mammalia,Carnivora,2298.393,1767.32,Critically Endangered
Out bank,Actinopterygii,Passeriformes,1630.923,2202.62,Near Threatened
Kind important,Mammalia,Rodentia,3070.61,420.33,Endangered
Memory manage,Amphibia,Anura,4475.82,1851.17,Critically Endangered
Show industry,Actinopterygii,Primates,651.481,1100.56,Critically Endangered
Treatment perform,Reptilia,Rodentia,4217.614,1482.25,Vulnerable
We sometimes,Actinopterygii,Passeriformes,4943.529,11.71,Vulnerable
Kid book,Aves,Primates,1711.48,1824.93,Endangered
Brother court,Mammalia,Squamata,2956.715,2985.2,Extinct in the Wild
Animal question,Amphibia,Primates,1351.842,2003.1,Extinct in the Wild
Soon fear,Amphibia,Rodentia,620.887,2609.91,Endangered
His discover,Aves,Passeriformes,3203.959,2045.39,Critically Endangered
White national,Reptilia,Passeriformes,2521.222,2544.21,Near Threatened
But least,Mammalia,Squamata,3823.925,2216.93,Extinct in the Wild
What claim,Mammalia,Anura,2367.351,893.44,Critically Endangered
Performance modern,Reptilia,Squamata,3992.069,1735.49,Extinct in the Wild
View anyone,Mammalia,Primates,1158.322,187.59,Vulnerable
Agree look,Reptilia,Passeriformes,4539.676,746.83,Endangered
Tax chair,Mammalia,Rodentia,3682.73,422.03,Endangered
Manager but,Amphibia,Rodentia,836.007,1545.08,Endangered
Scientist benefit,Aves,Rodentia,2190.601,1952.1,Least Concern
Baby language,Amphibia,Passeriformes,2105.778,1982.87,Vulnerable
Thus ready,Aves,Anura,385.823,177.55,Extinct in the Wild
Tv his,Mammalia,Primates,2967.324,2314.35,Critically Endangered
Effort late,Reptilia,Rodentia,300.069,2664.93,Critically Endangered
Break others,Mammalia,Carnivora,2861.575,2919.85,Endangered
Technology direction,Aves,Passeriformes,2142.339,1810.86,Extinct in the Wild
Hold protect,Actinopterygii,Carnivora,460.014,2085.28,Critically Endangered
Result thank,Mammalia,Anura,4408.709,1393.74,Extinct in the Wild
Citizen degree,Amphibia,Anura,3997.751,603.38,Near Threatened
Scientist attack,Reptilia,Squamata,2049.86,1005.69,Least Concern
Executive economy,Reptilia,Primates,3583.804,1376.83,Critically Endangered
Movement explain,Reptilia,Squamata,119.599,2481.86,Extinct in the Wild
Me capital,Actinopterygii,Primates,1494.1,98.8,Extinct in the Wild
Major nation,Reptilia,Anura,1134.251,91.65,Critically Endangered
Summer happy,Actinopterygii,Rodentia,1401.687,1581.95,Near Threatened
New money,Reptilia,Anura,640.55,1509.63,Least Concern
Forget score,Reptilia,Squamata,1309.622,2789.13,Critically Endangered
Star game,Mammalia,Passeriformes,2173.105,2293.34,Extinct in the Wild
Process scene,Amphibia,Passeriformes,4494.111,8.35,Critically Endangered
Social themselves,Amphibia,Primates,3896.171,1091.24,Vulnerable
Strong available,Amphibia,Carnivora,2401.291,2241.01,Near Threatened
Item top,Amphibia,Anura,3913.345,2471.71,Near Threatened
Reflect more,Amphibia,Rodentia,1755.312,2224.5,Vulnerable
Rate project,Reptilia,Carnivora,4119.742,2796.81,Vulnerable
Story give,Actinopterygii,Carnivora,2484.534,1447.44,Extinct in the Wild
Local adult,Reptilia,Carnivora,3568.852,1971.5,Extinct in the Wild
Far of,Aves,Squamata,1542.153,2652.05,Near Threatened
Capital stage,Actinopterygii,Carnivora,3933.388,2059.79,Near Threatened
Paper move,Mammalia,Anura,2829.796,1805.94,Endangered
Position fear,Actinopterygii,Squamata,2386.972,1621.7,Vulnerable
Management kitchen,Reptilia,Anura,4441.833,2443.0,Vulnerable
In available,Amphibia,Passeriformes,4730.923,64.28,Near Threatened
Goal prepare,Amphibia,Squamata,3610.304,1692.12,Near Threatened
Produce fly,Actinopterygii,Rodentia,4896.709,670.08,Vulnerable
Many significant,Amphibia,Anura,3739.697,281.65,Vulnerable
Either life,Mammalia,Anura,2555.586,2126.83,Vulnerable
Next PM,Amphibia,Passeriformes,1504.904,606.78,Least Concern
Account eat,Actinopterygii,Rodentia,4269.387,1052.57,Endangered
Few ready,Mammalia,Primates,142.24,260.19,Vulnerable
Eye serious,Mammalia,Rodentia,3826.082,948.33,Least Concern
Agency would,Mammalia,Carnivora,1398.762,1789.04,Endangered
Sit election,Amphibia,Passeriformes,390.768,668.22,Critically Endangered
Participant by,Amphibia,Carnivora,855.88,1843.78,Near Threatened
Brother manager,Reptilia,Squamata,2802.481,1721.06,Endangered
Around place,Reptilia,Rodentia,2403.374,2821.19,Least Concern
Fund clear,Reptilia,Carnivora,1151.899,1877.91,Least Concern
Economic already,Reptilia,Anura,2569.374,532.81,Extinct in the Wild
Couple policy,Actinopterygii,Passeriformes,4013.984,788.24,Critically Endangered
Sing it,Amphibia,Passeriformes,2456.707,381.22,Near Threatened
Task collection,Aves,Primates,2138.879,1407.93,Near Threatened
Develop store,Reptilia,Carnivora,1883.295,726.89,Least Concern
Run crime,Actinopterygii,Carnivora,1849.07,2892.84,Vulnerable
Election each,Amphibia,Squamata,2911.877,2360.54,Extinct in the Wild
Stuff paper,Actinopterygii,Rodentia,2904.046,11.35,Least Concern
Family though,Reptilia,Passeriformes,1897.074,2501.51,Extinct in the Wild
Save character,Mammalia,Passeriformes,3815.179,855.02,Near Threatened
Church black,Actinopterygii,Primates,3651.692,1509.21,Endangered
Thousand general,Amphibia,Passeriformes,4386.965,1355.14,Critically Endangered
Start recognize,Reptilia,Rodentia,4862.823,1067.17,Endangered
Child factor,Mammalia,Squamata,402.005,173.19,Critically Endangered
Sort eat,Actinopterygii,Passeriformes,4623.698,2864.92,Endangered
Generation group,Mammalia,Primates,0.644,1629.05,Vulnerable
Single special,Amphibia,Primates,4915.389,2552.01,Critically Endangered
Despite fall,Aves,Primates,2757.45,2232.07,Near Threatened
Spring edge,Actinopterygii,Squamata,3177.673,644.06,Vulnerable
West poor,Aves,Squamata,322.411,2156.18,Least Concern
Dinner case,Amphibia,Squamata,1910.421,934.51,Least Concern
Manager garden,Aves,Squamata,1769.586,337.63,Near Threatened
General design,Amphibia,Carnivora,3699.539,246.89,Near Threatened
Relate quickly,Amphibia,Squamata,932.082,1645.87,Critically Endangered
Fight than,Aves,Anura,3146.848,1875.01,Endangered
Pay treat,Mammalia,Passeriformes,133.043,2872.66,Endangered
After executive,Actinopterygii,Squamata,4248.623,2900.03,Extinct in the Wild
Actually benefit,Aves,Squamata,2864.357,1386.1,Critically Endangered
Between great,Aves,Primates,3.25,1978.95,Extinct in the Wild
Fear rate,Amphibia,Rodentia,4965.812,1414.21,Least Concern
System anyone,Aves,Rodentia,4124.379,410.93,Critically Endangered
Happy main,Aves,Anura,3098.351,1446.81,Critically Endangered
Level share,Aves,Anura,720.382,695.52,Near Threatened
List manage,Amphibia,Passeriformes,4294.865,1444.84,Vulnerable
Again our,Amphibia,Rodentia,161.177,2598.61,Near Threatened
Public sound,Mammalia,Rodentia,4476.79,1469.34,Near Threatened
Miss issue,Amphibia,Squamata,4951.906,2874.85,Least Concern
Represent sometimes,Mammalia,Rodentia,4867.389,1236.45,Endangered
Between issue,Amphibia,Squamata,614.051,796.92,Least Concern
Nor race,Mammalia,Passeriformes,4967.668,2360.54,Endangered
Particular get,Reptilia,Rodentia,3012.55,440.49,Near Threatened
Lay treat,Aves,Passeriformes,2597.896,1143.45,Vulnerable
Toward under,Amphibia,Primates,2498.448,2814.8,Least Concern
Early Republican,Amphibia,Carnivora,4217.901,2959.79,Endangered
Message career,Amphibia,Squamata,3049.405,1523.07,Critically Endangered
Adult age,Reptilia,Rodentia,3594.002,1623.29,Endangered
World product,Reptilia,Primates,4253.189,337.41,Extinct in the Wild
Event energy,Amphibia,Carnivora,2738.361,2643.61,Extinct in the Wild
Adult certainly,Actinopterygii,Primates,650.473,530.23,Extinct in the Wild
Develop agency,Mammalia,Carnivora,1162.877,1056.75,Critically Endangered
Itself front,Amphibia,Squamata,1898.271,751.05,Vulnerable
Answer foreign,Mammalia,Rodentia,4098.325,1178.23,Near Threatened
Shake want,Mammalia,Carnivora,1928.521,2536.9,Endangered
Process for,Mammalia,Carnivora,2917.001,929.19,Critically Endangered
Newspaper owner,Amphibia,Carnivora,4178.235,1333.19,Least Concern
Show view,Reptilia,Rodentia,3924.338,1136.36,Critically Endangered
Whose yeah,Reptilia,Passeriformes,3755.09,1861.07,Least Concern
Body campaign,Amphibia,Squamata,4551.657,125.6,Endangered
Want today,Amphibia,Primates,3584.715,2288.79,Critically Endangered
Sister among,Actinopterygii,Carnivora,2834.56,185.86,Extinct in the Wild
Significant can,Reptilia,Carnivora,1647.384,2598.63,Critically Endangered
Situation hold,Mammalia,Passeriformes,880.055,1900.78,Endangered
Wide debate,Mammalia,Squamata,782.693,2265.98,Near Threatened
Firm none,Aves,Anura,1705.845,1196.8,Near Threatened
Machine rule,Actinopterygii,Rodentia,2860.215,878.99,Near Threatened
Yard life,Amphibia,Squamata,2135.348,353.21,Endangered
Reason board,Aves,Anura,67.212,1685.71,Least Concern
Individual image,Reptilia,Primates,2472.793,1845.97,Extinct in the Wild
View develop,Actinopterygii,Squamata,2549.389,509.19,Critically Endangered
Along watch,Reptilia,Squamata,1162.754,1170.62,Near Threatened
Hospital southern,Actinopterygii,Squamata,4631.787,2465.89,Vulnerable
Left all,Mammalia,Passeriformes,4409.045,1105.12,Near Threatened
Mr bar,Reptilia,Anura,662.648,1690.38,Endangered
Run hand,Reptilia,Anura,1415.889,601.04,Endangered
Nature price,Aves,Passeriformes,2530.178,2680.01,Least Concern
South stock,Aves,Rodentia,3426.684,2252.73,Near Threatened
Feeling another,Mammalia,Primates,4906.035,2137.17,Endangered
Maybe according,Aves,Squamata,1387.214,915.77,Vulnerable
Concern business,Amphibia,Primates,2279.771,949.89,Critically Endangered
Hard soldier,Reptilia,Carnivora,4830.957,1578.11,Near Threatened
Example against,Actinopterygii,Primates,4971.799,2457.11,Endangered
Each six,Actinopterygii,Rodentia,3881.257,1135.98,Endangered
Real quickly,Amphibia,Squamata,2441.246,2149.9,Endangered
Foreign trial,Actinopterygii,Rodentia,1981.864,1809.08,Endangered
Carry ok,Reptilia,Passeriformes,3357.294,2901.05,Near Threatened
Alone series,Amphibia,Primates,3365.641,1072.74,Extinct in the Wild
Act doctor,Mammalia,Passeriformes,3684.031,334.79,Vulnerable
National anyone,Aves,Passeriformes,3594.493,1408.02,Near Threatened
But sure,Amphibia,Anura,1041.977,2666.57,Least Concern
Training win,Reptilia,Anura,4941.203,2234.8,Near Threatened
List bag,Aves,Squamata,886.163,596.34,Extinct in the Wild
Start history,Actinopterygii,Primates,579.742,1744.56,Least Concern
Should media,Amphibia,Passeriformes,3146.899,540.35,Near Threatened
Difference human,Aves,Rodentia,3392.954,573.45,Critically Endangered
Young cut,Amphibia,Passeriformes,1067.806,2645.65,Endangered
Keep have,Reptilia,Anura,4995.077,1514.55,Critically Endangered
New effect,Amphibia,Passeriformes,4427.754,1241.66,Critically Endangered
Modern yard,Amphibia,Rodentia,1131.239,1274.63,Least Concern
Whole nature,Mammalia,Primates,4557.217,916.2,Near Threatened
Republican loss,Aves,Carnivora,3029.388,193.02,Extinct in the Wild
Seven ever,Aves,Rodentia,790.838,506.18,Endangered
Girl ago,Reptilia,Squamata,2268.99,990.14,Endangered
Someone degree,Actinopterygii,Primates,935.297,1764.74,Vulnerable
Order argue,Mammalia,Passeriformes,4239.812,1792.57,Vulnerable
Simply order,Reptilia,Carnivora,1217.794,513.98,Critically Endangered
Better mean,Mammalia,Carnivora,4803.998,2208.46,Vulnerable
Issue why,Reptilia,Anura,3201.046,818.45,Vulnerable
Himself approach,Reptilia,Squamata,845.441,1942.13,Vulnerable
Federal your,Actinopterygii,Primates,2118.9,2036.69,Extinct in the Wild
Story strong,Amphibia,Passeriformes,4015.127,1123.04,Vulnerable
Will check,Reptilia,Rodentia,2691.326,2018.34,Extinct in the Wild
Message build,Aves,Rodentia,29.99,1365.29,Critically Endangered
Notice commercial,Mammalia,Anura,1808.471,2090.46,Least Concern
Management reveal,Actinopterygii,Squamata,3321.276,2905.39,Vulnerable
Full century,Amphibia,Primates,1581.317,416.83,Endangered
Human wait,Aves,Rodentia,1159.286,1421.95,Endangered
Represent push,Mammalia,Anura,2609.699,2780.54,Vulnerable
Light claim,Actinopterygii,Squamata,2566.983,1274.73,Critically Endangered
Race defense,Amphibia,Passeriformes,1112.168,865.47,Near Threatened
Local road,Actinopterygii,Carnivora,3747.809,1602.66,Extinct in the Wild
Woman nothing,Actinopterygii,Rodentia,2309.919,2109.62,Critically Endangered
Work rise,Actinopterygii,Primates,1441.248,455.98,Critically Endangered
Few ball,Amphibia,Carnivora,1918.71,2281.07,Near Threatened
His push,Amphibia,Passeriformes,2470.659,203.92,Least Concern
Fish rich,Aves,Carnivora,1128.489,99.6,Endangered
Require make,Aves,Carnivora,3278.829,1978.35,Extinct in the Wild
Owner away,Mammalia,Squamata,3129.731,1839.44,Extinct in the Wild
Either pass,Actinopterygii,Passeriformes,4238.554,932.16,Least Concern
Wide eight,Amphibia,Squamata,14.864,1876.61,Endangered
His send,Reptilia,Passeriformes,4368.864,45.94,Extinct in the Wild
Hope into,Actinopterygii,Anura,2207.425,1592.16,Endangered
Trip writer,Actinopterygii,Primates,241.964,1663.58,Critically Endangered
System or,Reptilia,Passeriformes,3919.737,433.26,Extinct in the Wild
Leg similar,Actinopterygii,Passeriformes,3393.286,1426.17,Endangered
Travel behavior,Actinopterygii,Passeriformes,680.867,649.25,Least Concern
Meeting cut,Mammalia,Passeriformes,2661.404,1456.59,Near Threatened
Until section,Reptilia,Anura,1482.625,2794.12,Near Threatened
Appear remember,Reptilia,Primates,2440.145,2341.99,Endangered
Reveal ball,Reptilia,Rodentia,1263.482,1802.07,Extinct in the Wild
Trouble animal,Aves,Carnivora,4848.39,2207.84,Extinct in the Wild
Thought this,Amphibia,Primates,253.551,752.01,Critically Endangered
General unit,Aves,Primates,2258.988,546.01,Near Threatened
Choose herself,Reptilia,Primates,154.91,2998.47,Vulnerable
Fight amount,Aves,Carnivora,2648.171,2060.07,Critically Endangered
However their,Mammalia,Rodentia,4158.73,193.78,Near Threatened
Something against,Mammalia,Rodentia,1263.652,2828.94,Vulnerable
Indicate clearly,Reptilia,Squamata,96.123,416.36,Near Threatened
Consider training,Amphibia,Primates,3765.105,2830.76,Extinct in the Wild
Certain effect,Reptilia,Primates,1714.561,373.17,Endangered
Lead account,Mammalia,Squamata,1733.53,2548.95,Endangered
Form institution,Reptilia,Squamata,835.748,507.65,Vulnerable
Team especially,Actinopterygii,Primates,382.028,1252.59,Least Concern
Individual subject,Actinopterygii,Carnivora,4970.583,647.28,Least Concern
Cup room,Aves,Primates,2250.113,445.17,Extinct in the Wild
Discussion happy,Amphibia,Squamata,4826.621,256.91,Extinct in the Wild
Pull item,Mammalia,Rodentia,4365.421,1860.04,Endangered
Military building,Mammalia,Anura,1635.34,1073.59,Endangered
Whom someone,Actinopterygii,Squamata,1667.328,2828.05,Endangered
Short appear,Amphibia,Primates,2069.504,2713.96,Endangered
Range interesting,Actinopterygii,Carnivora,4162.053,2652.16,Least Concern
Attention identify,Reptilia,Primates,5.223,1441.04,Extinct in the Wild
Avoid husband,Actinopterygii,Squamata,2914.936,2287.42,Endangered
Head likely,Actinopterygii,Carnivora,1287.665,2361.64,Near Threatened
Step anything,Amphibia,Squamata,461.059,30.82,Critically Endangered
Prove voice,Reptilia,Carnivora,1920.549,2045.43,Least Concern
Event we,Amphibia,Passeriformes,4656.738,1434.76,Least Concern
Each maybe,Amphibia,Carnivora,462.817,1371.75,Least Concern
Central stand,Actinopterygii,Squamata,4858.703,216.32,Extinct in the Wild
Measure everything,Aves,Carnivora,2811.647,2777.13,Extinct in the Wild
Rather population,Actinopterygii,Primates,821.933,815.08,Endangered
Blood different,Amphibia,Primates,4502.986,1455.0,Endangered
Science free,Actinopterygii,Rodentia,1366.939,1728.9,Least Concern
Imagine piece,Actinopterygii,Anura,1590.671,541.43,Vulnerable
These answer,Actinopterygii,Squamata,781.339,552.35,Critically Endangered
War war,Mammalia,Carnivora,4670.114,1292.26,Endangered
Institution agree,Reptilia,Anura,1783.292,2423.08,Extinct in the Wild
Popular learn,Actinopterygii,Rodentia,4107.196,2468.71,Vulnerable
Yard early,Mammalia,Anura,387.262,1952.25,Near Threatened
Son father,Actinopterygii,Anura,814.659,1388.66,Critically Endangered
Room which,Mammalia,Primates,4755.487,1615.87,Critically Endangered
Fight either,Aves,Carnivora,2323.679,783.47,Endangered
Prepare do,Actinopterygii,Passeriformes,4089.089,2830.7,Least Concern
Attorney another,Amphibia,Rodentia,1222.066,826.56,Endangered
Third collection,Mammalia,Passeriformes,2986.733,1057.02,Vulnerable
Guess week,Mammalia,Squamata,1588.017,142.6,Near Threatened
Reveal under,Actinopterygii,Squamata,1085.142,1491.53,Extinct in the Wild
Clear you,Amphibia,Rodentia,2458.767,96.62,Least Concern
Read move,Amphibia,Primates,1929.872,818.81,Endangered
Cold ball,Aves,Primates,2202.151,1631.12,Least Concern
Will foreign,Amphibia,Squamata,875.842,1825.23,Vulnerable
Wait record,Aves,Primates,4455.279,2644.31,Least Concern
Page political,Reptilia,Primates,2594.621,2921.22,Least Concern
Future million,Mammalia,Squamata,3632.883,1701.87,Near Threatened
Practice today,Amphibia,Primates,1407.351,2045.42,Extinct in the Wild
Herself local,Amphibia,Anura,2855.674,2067.86,Critically Endangered
Indeed until,Reptilia,Squamata,535.458,1369.4,Endangered
Group action,Reptilia,Anura,2509.624,857.4,Endangered
Central position,Aves,Squamata,186.799,2528.78,Near Threatened
Society easy,Reptilia,Squamata,4149.203,2339.52,Extinct in the Wild
West she,Mammalia,Passeriformes,4549.298,2938.98,Critically Endangered
Firm citizen,Amphibia,Carnivora,3361.572,2846.27,Least Concern
Such economy,Mammalia,Primates,1283.046,2029.53,Endangered
Writer audience,Actinopterygii,Squamata,2357.497,2878.41,Extinct in the Wild
Guess including,Aves,Rodentia,3394.707,1321.3,Critically Endangered
Type feeling,Reptilia,Passeriformes,3256.495,2570.96,Endangered
House key,Mammalia,Squamata,3033.02,2195.78,Endangered
Address discussion,Mammalia,Carnivora,2126.757,2480.69,Vulnerable
Wrong fish,Reptilia,Carnivora,4599.572,1575.28,Extinct in the Wild
Step television,Actinopterygii,Passeriformes,1303.285,808.51,Least Concern
Draw course,Mammalia,Rodentia,3609.703,2486.73,Endangered
Establish you,Actinopterygii,Primates,2970.717,1501.81,Extinct in the Wild
Character herself,Reptilia,Rodentia,2044.087,1345.92,Endangered
Anything idea,Mammalia,Primates,949.928,16.3,Vulnerable
Source season,Reptilia,Rodentia,1203.036,1414.93,Least Concern
Condition page,Actinopterygii,Anura,3823.278,1184.97,Extinct in the Wild
Among kitchen,Reptilia,Primates,2185.607,2116.2,Critically Endangered
Through production,Aves,Squamata,3032.621,1793.48,Vulnerable
Attack medical,Aves,Anura,193.982,2951.14,Endangered
Pressure believe,Amphibia,Anura,2169.303,2568.53,Vulnerable
Listen second,Mammalia,Rodentia,1925.652,2169.68,Vulnerable
To might,Aves,Anura,1564.997,1057.78,Critically Endangered
Decision clearly,Actinopterygii,Carnivora,2432.657,561.29,Critically Endangered
Eight program,Amphibia,Primates,1111.799,383.8,Endangered
Next today,Aves,Passeriformes,3298.123,2473.81,Endangered
Herself fly,Aves,Rodentia,3482.211,1710.09,Critically Endangered
Stand compare,Amphibia,Anura,551.95,2289.64,Extinct in the Wild
Discuss wife,Mammalia,Primates,4727.488,2479.14,Near Threatened
Center candidate,Aves,Passeriformes,1041.092,2191.39,Vulnerable
Everybody white,Actinopterygii,Carnivora,4753.021,2154.16,Vulnerable
That high,Reptilia,Anura,4033.278,2599.57,Critically Endangered
Cultural food,Reptilia,Squamata,3309.169,788.87,Critically Endangered
Ever early,Aves,Rodentia,146.311,1111.69,Vulnerable
Class form,Aves,Anura,3395.187,153.46,Critically Endangered
Pull trouble,Actinopterygii,Carnivora,2372.359,2042.11,Near Threatened
Gas company,Mammalia,Anura,1126.863,2393.6,Extinct in the Wild
Hospital democratic,Aves,Primates,3980.483,243.06,Extinct in the Wild
Either piece,Reptilia,Primates,3295.576,142.76,Endangered
Ball impact,Amphibia,Anura,433.764,1542.39,Endangered
Business moment,Actinopterygii,Rodentia,1260.386,2493.06,Extinct in the Wild
Because movie,Reptilia,Carnivora,4094.109,733.08,Critically Endangered
General chance,Mammalia,Anura,3732.064,622.97,Critically Endangered
Think else,Amphibia,Carnivora,790.73,1719.2,Vulnerable
Activity single,Reptilia,Squamata,3692.16,2460.95,Extinct in the Wild
Analysis yet,Actinopterygii,Primates,4563.52,2931.9,Vulnerable
Forward ten,Amphibia,Anura,1367.96,735.17,Near Threatened
Expert could,Actinopterygii,Squamata,1604.74,283.31,Vulnerable
Cup reflect,Actinopterygii,Rodentia,2740.237,1785.96,Least Concern
Significant nearly,Aves,Squamata,667.137,2789.35,Vulnerable
Theory quickly,Amphibia,Passeriformes,4876.293,2133.49,Vulnerable
Party drop,Aves,Rodentia,1310.584,540.12,Near Threatened
Money finally,Aves,Rodentia,3931.431,787.97,Endangered
Range memory,Aves,Carnivora,2889.305,2821.46,Vulnerable
Ability hand,Amphibia,Rodentia,2834.151,141.46,Near Threatened
Like focus,Actinopterygii,Carnivora,504.732,523.75,Endangered
End fear,Actinopterygii,Primates,1609.721,365.18,Near Threatened
Both become,Amphibia,Anura,3980.279,897.6,Endangered
Public beyond,Amphibia,Rodentia,3730.865,1655.27,Endangered
Himself water,Reptilia,Rodentia,1968.383,1086.85,Vulnerable
Can seven,Actinopterygii,Passeriformes,4574.878,2930.31,Critically Endangered
Receive act,Actinopterygii,Primates,4788.438,523.09,Vulnerable
Cell night,Actinopterygii,Rodentia,2867.249,2557.74,Critically Endangered
Clear model,Actinopterygii,Rodentia,220.5,2476.45,Critically Endangered
Smile want,Reptilia,Primates,2927.277,1172.6,Vulnerable
